Episode,Average Reward,Average Loss,Total Lines sent
1,-13.872727272727273,494.2773599599234,0
2,-14.0375,231.83639283180236,0
3,-15.358823529411765,1046.7276282310486,0
4,-13.620833333333332,3977.6013550361,0
5,-11.16,104.94715331395467,0
6,-18.064999999999998,509.5196930654347,0
7,-21.080434782608695,872.5822997637417,0
8,-17.752272727272725,231.72586558217353,0
9,-17.564583333333335,1354.740695949023,0
10,-14.185714285714285,242.8348028716587,0
11,-13.866666666666667,750.5828032178183,0
12,-17.021212121212123,1703.8927681807315,0
13,-15.070000000000002,575.2223699331283,0
14,-7.635,100.45699399448931,0
15,-7.384615384615385,89.95131521041577,0
16,-15.436363636363637,1456.5501145666296,1
17,-10.156818181818183,210.41941300847313,0
18,-11.75185185185185,585.6407990280401,0
19,-14.48703703703704,337.573974441599,0
20,-14.989473684210523,357.32589977214997,0
21,-18.084210526315786,419.2918109517348,0
22,-12.214516129032258,2189.8554228063554,0
23,-10.878333333333332,294.0811161160469,0
24,-18.283333333333335,1974.7816084272256,0
25,-11.281944444444441,1675.5909955307013,1
26,-11.358333333333334,2374.045166929563,0
27,-14.084615384615386,28029.238288576787,0
28,-11.009615384615385,1461.0329594434454,0
29,-13.25862068965517,781.4311986791677,0
30,-10.55,2052.2289143703556,0
31,-10.535714285714286,3092.4735763498716,0
32,-10.757142857142858,1263.3979497246798,0
33,-14.62272727272727,304.46482241153717,0
34,-13.578000000000001,5910.657631784082,0
35,-15.12272727272727,3243.1840351278133,0
36,-9.4,2128.549280785597,0
37,-10.772916666666665,1434.2038660496473,0
38,-16.535,1996.5648786574602,0
39,-10.807142857142859,8489.713367999133,1
40,-8.769607843137253,3047.7659325086165,8
41,-8.74642857142857,2018.9383179375104,1
42,-9.067499999999999,954.6957740738987,0
43,-11.020370370370369,1081.665241226002,0
44,-15.061904761904762,2587.299000635743,0
45,-12.86176470588235,549.2590592152932,0
46,-12.753999999999998,10155.652843172551,0
47,-16.36470588235294,1108.9160682751851,0
48,-13.57777777777778,5233.261966854334,0
49,-13.015909090909092,3832.742522749034,0
50,-11.225,5010.405300935109,1
51,-11.420000000000003,6409.051736481984,0
52,-15.052631578947368,2185.231233195255,0
53,-13.992857142857142,9107.64357987206,0
54,-14.129166666666668,4216.757663706939,0
55,-10.540000000000001,13331.410050473894,0
56,-16.14411764705882,3756.139606027042,0
57,-11.83095238095238,7463.66743468103,0
58,-13.505555555555555,1602.3527641296387,0
59,-8.992307692307692,24609.93585758943,0
60,-12.2725,1999.6943154366686,0
61,-11.216666666666667,1759.860481216794,0
62,-7.60888888888889,5216.5385226620565,2
63,-9.888333333333332,5375.632603653272,1
64,-12.179545454545455,6811.507856314833,0
65,-7.8229729729729724,21777.581510646924,0
66,-12.645238095238094,5162.9966824395315,0
67,-6.437777777777779,3654.1742262734306,3
68,-9.109677419354838,8153.630755086099,0
69,-9.131034482758619,7024.324830745829,0
70,-4.056521739130435,4788.73877828795,4
71,-8.315,14285.743537920713,0
72,-7.722500000000001,9739.484673166275,1
73,-10.44375,1392.1954833045602,0
74,-7.41,4554.27338726148,0
75,-8.51923076923077,3872.1792838882943,0
76,-8.8125,6735.610054433346,1
77,-7.2371428571428575,10153.596372480903,0
78,-11.504545454545452,2615.982004899235,0
79,-8.048076923076923,2806.143652210442,0
80,-7.731481481481482,29689.139452051233,0
81,-7.742000000000001,9759.69103945732,0
82,-7.213793103448276,6670.825228326408,1
83,-6.411458333333332,4985.513541771176,4
84,-11.83,2274.3095230460167,0
85,-6.5569444444444445,1422.523947219054,0
86,-8.963636363636363,1608.8989679982717,0
87,-6.688709677419355,13073.701408093975,0
88,-7.1579999999999995,8777.01609828949,1
89,-9.479545454545454,9671.433457325806,0
90,-6.767647058823529,5247.248408411465,0
91,-8.082051282051282,11348.63547238784,0
92,-6.86888888888889,6547.863639381528,1
93,-5.45,1894.0832899610202,3
94,-10.087499999999999,6050.290389367069,0
95,-8.648214285714285,6817.099057927728,0
96,-8.412,10680.031781406402,0
97,-7.616666666666666,16295.259935506185,1
98,-7.75,23693.384206022536,0
99,-9.180434782608694,11556.765472743822,0
100,-7.131428571428572,4574.852558711597,1
101,-9.366666666666667,1375.8959030161302,0
102,-10.616666666666665,2034.9005764552526,0
103,-7.084848484848485,12405.005972833344,0
104,-6.016363636363636,4223.094943701137,4
105,-4.593650793650793,4113.899507007728,6
106,-10.6125,3040.5410795722687,0
107,-4.866037735849058,1627.9988671046383,5
108,-7.1241379310344835,2076.1200255119593,0
109,-5.8855555555555545,5485.6196841167075,1
110,-7.808333333333334,1206.323777823771,0
111,-4.619827586206896,4924.627535209574,1
112,-5.97375,2650.6455725403503,0
113,-5.062,1135.199265537262,0
114,-3.7289473684210517,5274.807673460755,0
115,-6.671212121212122,2030.0840095317726,1
116,-7.163235294117647,1800.4055016338825,1
117,-7.459375,13104.891111102886,0
118,-7.544736842105261,3500.4171480395294,1
119,-4.376744186046512,9645.275806338288,4
120,-3.3479999999999994,1137.5920759913372,4
121,-3.5592105263157894,912.1671576813648,0
122,-4.022972972972972,619.897575985741,0
123,-4.490000000000001,1161.5548974411356,2
124,-3.5749999999999997,435.3614600760781,1
125,-4.24736842105263,306.51728688690224,1
126,-3.523611111111111,951.5427518983682,0
127,-4.164583333333334,343.06096344775386,1
128,-5.32625,480.60401879251003,1
129,-4.948648648648648,388.25542241898745,1
130,-4.468478260869565,333.3071606114669,0
131,-5.2671874999999995,548.827353592962,0
132,-3.2384615384615385,1229.7983758413257,1
133,-4.009302325581395,585.3894018305596,2
134,-4.238888888888888,867.4390827231937,2
135,-2.95875,812.2001712231198,5
136,-3.626851851851851,1069.180087622669,3
137,-3.6041666666666665,706.722313589106,8
138,-3.5537735849056595,747.6811508457615,1
139,-3.890740740740741,1170.0543887052272,1
140,-3.169642857142857,467.5311751026394,3
141,-4.890677966101695,2444.397130497151,4
142,-4.83125,1678.5475316444126,5
143,-2.274675324675324,252.69636267679442,4
144,-3.728723404255318,901.2761746300187,0
145,-4.4867187500000005,2458.855922212824,3
146,-4.602083333333334,230.47983815365782,1
147,-4.227499999999999,83.39090219214559,2
148,-4.007627118644067,452.10221030127445,2
149,-3.370833333333333,190.42949562731883,5
150,-4.076219512195124,265.8583861088789,4
151,-3.5156249999999996,93.0800853598242,2
152,-4.9486842105263165,111.99751996425421,0
153,-3.5991803278688526,460.2256487927354,1
154,-3.7620967741935485,91.16077431307114,1
155,-2.7054054054054055,60.711778805289114,3
156,-4.329285714285715,83.5222001048071,3
157,-4.0889999999999995,107.57622999191284,8
158,-4.158450704225353,71.5096383450133,5
159,-4.247959183673469,50.890060617341376,0
160,-3.4578313253012047,44.41701279702005,5
161,-4.6202127659574455,48.977857803777255,6
162,-4.072435897435896,38.55295057597836,4
163,-5.610000000000001,25.95516145581549,2
164,-3.6068749999999996,25.52870649153483,3
165,-3.9967105263157894,28.805584458157107,4
166,-3.927922077922077,65.3656280973394,4
167,-5.600000000000001,32.28181319994231,0
168,-2.971653543307086,44.79023968742282,8
169,-4.905978260869564,57.456242711364254,9
170,-4.470394736842107,53.73746804518956,3
171,-3.162745098039216,17.054131996635274,7
172,-3.763333333333335,29.01300844558204,6
173,-3.894827586206896,32.735766420590465,2
174,-3.0729411764705876,22.962352793970528,3
175,-3.374,42.334383861670894,3
176,-4.605633802816901,38.17885079240085,3
177,-4.861971830985915,20.466702224450632,2
178,-3.655333333333333,12.521168642143408,3
179,-5.3570652173913045,42.11230319544025,7
180,-3.4294642857142863,23.227651986730052,0
181,-3.905333333333333,36.897772526219484,2
182,-4.647101449275361,23.856960324762873,1
183,-3.718446601941747,39.995292160641945,5
184,-3.2176470588235286,28.84753704846234,9
185,-3.5735714285714275,25.80325980962121,3
186,-3.908641975308643,30.3904080481073,1
187,-3.8601973684210513,30.385004227884853,11
188,-4.33244680851064,38.73015185333404,7
189,-3.849038461538462,20.551072695861176,0
190,-4.244886363636365,28.76291348603131,7
191,-4.651648351648352,18.525866500858402,7
192,-7.222619047619048,37.900077894974466,2
193,-5.075675675675675,95.0644987351387,4
194,-4.976811594202898,42.9257208770141,3
195,-5.163768115942028,148.76536050530663,3
196,-4.215873015873017,19.1959636774328,4
197,-3.9975409836065583,20.05217447824639,11
198,-4.63380281690141,13.145137405554227,5
199,-3.8212121212121213,15.504038168131515,2
200,-3.939015151515152,40.633185680766914,21
201,-5.714150943396226,30.785575025732506,4
202,-4.6517241379310335,43.18136156110418,2
203,-5.382191780821917,15.144685540558795,3
204,-4.500625000000002,28.685816383053314,2
205,-5.079032258064514,21.08626561655969,6
206,-3.8303738317757023,27.213237687592855,11
207,-3.6048387096774217,29.847633236253092,13
208,-4.190116279069766,10.95904992702742,4
209,-5.009411764705881,57.54502067619606,7
210,-4.56323529411765,15.401254762998125,9
211,-3.9181818181818175,15.534501388542015,4
212,-4.215000000000001,90.58673754447742,9
213,-3.9857142857142867,88.08898077443556,7
214,-3.818947368421052,138.09511508133852,7
215,-3.209426229508197,24.7626144092217,7
216,-4.558955223880598,41.243261267681284,3
217,-5.660909090909091,29.07313161424615,1
218,-4.432800000000002,45.400021990404,9
219,-5.004651162790698,50.036892790910464,7
220,-4.376859504132232,23.901577534453274,8
221,-5.714189189189192,19.304426825001233,5
222,-4.486538461538463,13.02241821696934,2
223,-3.9544999999999995,13.627836013438646,6
224,-4.1895348837209285,26.336984897647397,10
225,-4.652799999999997,28.459755440659823,10
226,-3.0215151515151524,15.08598958250474,22
227,-4.444354838709676,13.617061267475947,10
228,-5.580434782608696,24.81143539835466,7
229,-4.179999999999999,19.52969635924467,19
230,-3.7678571428571446,16.93741617600816,4
